work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_size
2024,MI,CT,130000,US,0,M
2024,MI,CT,110000,US,0,M
2024,MI,FT,240000,US,0,M
2024,MI,FT,180000,US,0,M
2024,SE,FT,202800,US,0,M
2024,SE,FT,115000,US,0,M
2024,MI,FT,112300,US,0,M
2024,MI,FT,75100,US,0,M
2024,MI,FT,178200,US,0,M
2024,MI,FT,87000,US,0,M
2024,MI,FT,252000,US,0,M
2024,MI,FT,168000,US,0,M
2024,SE,FT,140000,US,100,M
2024,SE,FT,130000,US,100,M
2024,SE,FT,190000,US,0,M
2024,SE,FT,100000,US,0,M
2024,MI,FT,150650,US,0,M
2024,MI,FT,106700,US,0,M
2024,SE,FT,192300,US,0,M
2024,SE,FT,107900,US,0,M
2024,MI,FT,115000,US,100,M
2024,MI,FT,95500,US,100,M
2024,MI,FT,195000,US,100,M
2024,MI,FT,160000,US,100,M
2024,SE,FT,257600,US,0,M
2024,SE,FT,146000,US,0,M
2024,SE,FT,158200,US,0,M
2024,SE,FT,74100,US,0,M
2024,SE,FT,231400,US,0,M
2024,SE,FT,170955,US,0,M
2024,MI,FT,137000,US,0,M
2024,MI,FT,60300,US,0,M
2024,MI,FT,101098,US,0,M
2024,MI,FT,59469,US,0,M
2024,MI,FT,166363,US,0,M
2024,MI,FT,103977,US,0,M
2024,SE,FT,166000,US,0,M
2024,SE,FT,104000,US,0,M
2024,SE,FT,170400,US,0,M
2024,SE,FT,123800,US,0,M
2024,MI,FT,94763,US,100,M
2024,MI,FT,67750,US,100,M
2024,SE,FT,251250,US,0,M
2024,SE,FT,120750,US,0,M
2024,SE,FT,189615,US,0,M
2024,SE,FT,150385,US,0,M
2024,SE,FT,283800,US,0,M
2024,SE,FT,234700,US,0,M
2024,MI,FT,109000,US,100,M
2024,MI,FT,93000,US,100,M
2024,MI,FT,164000,US,0,M
2024,MI,FT,131000,US,0,M
2024,SE,FT,144300,US,0,M
2024,SE,FT,104800,US,0,M
2024,SE,FT,212750,US,0,M
2024,SE,FT,157250,US,0,M
2024,EN,FT,150000,US,100,M
2024,EN,FT,129200,US,100,M
2024,SE,FT,265000,US,0,M
2024,SE,FT,170000,US,0,M
2024,SE,FT,190000,US,100,M
2024,SE,FT,155000,US,100,M
2024,SE,FT,165000,US,100,M
2024,SE,FT,100000,US,100,M
2024,MI,FT,213900,US,100,M
2024,MI,FT,126500,US,100,M
2024,SE,FT,130000,US,0,M
2024,SE,FT,104000,US,0,M
2024,SE,FT,225000,US,100,M
2024,SE,FT,66000,US,100,M
2024,SE,FT,220000,US,0,M
2024,MI,FT,110000,US,0,M
2024,MI,FT,85000,US,0,M
2024,SE,FT,282000,US,100,M
2024,SE,FT,188000,US,100,M
2024,EX,FT,219650,US,100,M
2024,EX,FT,136000,US,100,M
2024,SE,FT,210850,US,0,M
2024,SE,FT,145400,US,0,M
2024,MI,FT,143800,US,100,M
